Traceback (most recent call last):
  File "manage.py", line 8, in <module>
    from django.core.management import execute_from_command_line
ImportError: No module named django.core.management
Traceback (most recent call last):
  File "manage.py", line 8, in <module>
    from django.core.management import execute_from_command_line
ImportError: No module named django.core.management
[21/Mar/2018 03:07:20]"GET /static/assets/css/bootstrap/bootstrap.min.css HTTP/1.1" 200 121260
[21/Mar/2018 03:07:20]"GET /static/assets/js/jquery.flexslider-min.js HTTP/1.1" 200 22034
[21/Mar/2018 03:07:20]"GET /static/assets/js/owl.carousel.min.js HTTP/1.1" 200 40401
[21/Mar/2018 03:07:20]"GET /static/assets/js/isotope.min.js HTTP/1.1" 200 40847
[21/Mar/2018 03:07:20]"GET /static/assets/js/jquery.magnific-popup.min.js HTTP/1.1" 200 21200
[21/Mar/2018 03:07:21]"GET /static/assets/js/jquery.scrollTo.min.js HTTP/1.1" 200 2447
[21/Mar/2018 03:07:21]"GET /static/assets/js/smooth.scroll.min.js HTTP/1.1" 200 6589
[21/Mar/2018 03:07:21]"GET /static/assets/js/jquery.appear.js HTTP/1.1" 200 1485
[21/Mar/2018 03:07:21]"GET /static/assets/js/jquery.countTo.js HTTP/1.1" 200 949
[21/Mar/2018 03:07:21]"GET /static/assets/js/jquery.scrolly.js HTTP/1.1" 200 2273
[21/Mar/2018 03:07:21]"GET /static/assets/js/plugins-scroll.js HTTP/1.1" 200 6305
[21/Mar/2018 03:07:21]"GET /static/assets/js/imagesloaded.min.js HTTP/1.1" 200 8113
[21/Mar/2018 03:07:21]"GET /static/assets/js/pace.min.js HTTP/1.1" 200 12507
[21/Mar/2018 03:07:21]"GET /static/assets/js/main.js HTTP/1.1" 200 15025
[21/Mar/2018 03:07:22]"GET /static/assets/css/style.css HTTP/1.1" 200 167842
